Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Hotel Transylvania 3 Monsters Overboard,Torus Games,Outright Games,10/Jul/2018,,[844]
Hotline Miami Collection,Dennaton Games,Devolver Digital,19/Ago/2019,BR,[845]
Hover,Fusty Game,Plug In Digital,20/Set/2018,CP,[846]
Hue,Fiddlesticks,Curve Digital,06/Jun/2019,,[847]
Human Resource Machine,Tomorrow Corporation,Tomorrow Corporation,16/Mar/2017,,[848]
Human: Fall Flat,No Brakes Games,Curve Digital,07/Dez/2017,,[849]
Human Rocket Person,2nd Studio,2nd Studio,27/Jun/2019,,[850]
Hungry Baby: Party Treats,Digital Melody,QubicGames,24/Mai/2019,,[851]
Hungry Shark World,Future Games of London,Ubisoft,17/Jul/2018,,[852]
Hunter's Legacy: Purrfect Edition,Lienzo,Lienzo,13/Dez/2018,,[853]
Hunting Simulator,Neopica,Bigben Interactive,10/Jul/2018,,[854]
Hyper Light Drifter - Special Edition,Heart Machine,Abylight,06/Set/2018,,[855]
Hyper Sentinel,Four5Six Pixel,Huey Games,11/Mai/2018,,[856]
Hyperlight Ultimate,CatfishBlues Games,CatfishBlues Games,09/Jul/2019,,[857]
Hyperide,,Kool2Play,30/Jan/2019,,[858]
Hyperide: Vector Raid,Kool2Play,Arts Alliance,17/Dez/2018,,[859]
Hyrule Warriors: Definitive Edition,"Koei Tecmo Games CO., LTD.",Nintendo,18/Mai/2018,A BR,[860]
I am Setsuna,Tokyo RPG Factory,Square Enix,03/Mar/2017,,[861]
I Am The Hero,Crazyant,Ratalaika Games,30/Nov/2018,,[862]
I and Me,Wish Fang,Ratalaika Games,13/Jul/2017,,[863]
I Hate Running Backwards,Binx Interactive,Devolver Digital,19/Out/2018,,[864]
I Wanna Fly,Ultimate Games INC,Ultimate Games,20/Fev/2019,,[865]
"I, Zombie",Awesome Games Studio Sp. z o.o.,Awesome Games,08/Mar/2018,,[866]
Ice Cream Surfer,Dolores Entertainment,Dolores Entertainment S.L.,17/Mai/2018,,[867]
ICEY,FantaBlade Network,X.D. Network,31/Mai/2018,,[868]
Iconoclasts,Joakim Sandberg,Bifrost Ent.,02/Ago/2018,,[869]
IHUGU,,Kool2Play,21/Jan/2019,,[870]
Ikaruga,Treasure,"Nicalis, Inc.",29/Mai/2018,,[871]
Illusion of L'Phalcia,Exe Create Inc.,Kemco,01/Ago/2019,,[872]
Immortal Redneck,Crema,Crema Games,10/Mai/2018,,[873]
Implosion,Rayark Games / Esquadra,Flyhigh Works,06/Jul/2017,,[874]
Impossible Mission,System 3 Software,System 3 Software,29/Abr/2019,,[875]
In Between,gentlymad,Headup Games,07/Ago/2018,,[876]
IN-VERT,,Victory Road,20/Ago/2019,,[877]
Infernium,Undercoders,Undergames,05/Abr/2018,,[878]
Inferno Climber: Reborn,"Island Co.,Ltd.","Arc System Works Co., Ltd.",28/Mar/2019,,[879]
Infinite Minigolf,Zen Studios,Zen Studios,28/Jul/2017,,[880]
INK,kittehface / Spaceboy,Digerati,19/Jun/2018,,[881]
InkSplosion,Petite Games,Ratalaika Games,18/Abr/2018,,[882]
InnerSpace,PolyKnight Games,"Aspyr Media, Inc.",16/Jan/2018,,[883]
Inops,ZRZStudio LTD,ZRZStudio,26/Jan/2019,,[884]
Inside,Playdead,Playdead,28/Jun/2018,,[885]
Inside My Radio,Seaven Studio,Seaven Studio,10/Jan/2019,,[886]
Instant Tennis,BreakFirst,BreakFirst Games,06/Dez/2018,,[887]
Into the Breach,Subset Games,Subset Games,28/Ago/2018,,[888]
Invasion of Alien X - Earth in Crisis,Double Drive Games,Double Drive Games,29/Ago/2019,,[889]
Inventioneers,Filimundus AB,Filimundus,25/Mar/2019,,[890]
Inversus Deluxe,Hypersect,Hypersect,28/Set/2017,,[891]
Invisiballs,Digital Kingdom,Digital Kingdom,17/Mai/2018,,[892]
Invisigun Reloaded,Sombr Studio,Sombr Studio,22/Ago/2019,,[893]
