Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,Square Enix,20/Mar/2019,,[343]
ChromaGun,Pixel Maniacs,Pixel Maniacs,22/Jan/2018,,[344]
Chroma Squad,Behold Studios,Plug In Digital,01/Ago/2019,,[345]
Chrono Clash: Fantasy Tactics,Tyler Projects,Tyler Projects,28/Jan/2019,,[346]
Chronus Arc,"Hit-Point Co.,Ltd.",Kemco,20/Dez/2018,,[347]
Cinderella - An Interactive Fairytale,Golden Orb,Golden Orb,18/Jan/2019,,[348]
Cinders,MoaCube / Crunching Koalas,Crunching Koalas,14/Jan/2019,,[349]
Circle of Sumo,,Belka,16/Nov/2018,,[350]
Circuits,Digital Tentacle,TeseoyelMinotauro,05/Abr/2019,,[351]
Cities: Skylines - Nintendo Switch Edition,Tantalus,Paradox Interactive,13/Set/2018,,[352]
Citizens of Space,Eden Industries,Sega,18/Jun/2019,,[353]
City Builder,,BoomBox,17/Dez/2018,,[354]
City of Brass,Uppercut Games Pty Ltd,Uppercut Games,08/Fev/2019,,[355]
Clannad,,Prototype,04/Jul/2019,,[356]
Classic Games Collection Vol.1,Baltoro Games,Baltoro Games,26/Jul/2019,,[357]
Claws of Furry,Terahard,Terahard Studios,03/Set/2018,,[358]
Claybook,Second Order,Second Order,12/Mar/2019,,[359]
Clock Simulator,,Kool2Play,10/Jan/2019,,[360]
Clouds & Sheep 2,HandyGames,HandyGames,21/Dez/2018,,[361]
Clue: The Classic Mystery Game,Marmalade Game Studio,Marmalade Game Studio,17/Dez/2018,,[362]
ClusterPuck 99,PHL Collective,Coatsink Software,29/Mar/2018,,[363]
Clustertruck,Landfall Games,tinyBuild Games,15/Mar/2018,,[364]
Code of Princess EX,"Studio Saizensen co,.ltd.","Nicalis, Inc.",31/Jul/2018,,[365]
Coffee Crisis,Mega Cat Studios,QubicGames,30/Nov/2018,,[366]
Coffin Dodgers,Milky Tea,Wales Interactive Ltd.,13/Mar/2018,,[367]
Collidalot,Grunka Munka Games,Grunka Munka,09/Nov/2018,,[368]
Collide-a-Ball 2,,Starsign,25/Jul/2019,,[369]
Color Zen,Cypronia / Large Animal,Cypronia,06/Dez/2018,F2P,[370]
Collection of Mana,,Square Enix,11/Jun/2019,,[371]
Color Zen Kids,Cypronia / Large Animal,Cypronia,21/Jan/2019,,[372]
Coloring Book,FX Valley,QubicGames,16/Nov/2018,F2P,[373]
Combat Core,MABManZ,MABManZ,10/Jan/2019,,[374]
Commander Keen in Keen Dreams,Lone Wolf Technology LLC,Lone Wolf Technology,07/Fev/2019,,[375]
Conduct Together!,Northplay,Northplay,06/Dez/2018,,[376]
Conga Master Party!,Undercoders,Rising Star Games,28/Set/2017,A,[377]
Construction Machines Simulator,SimFabric,SimFabric,19/Abr/2019,,[378]
Constructor Plus,System 3 Software Ltd,System 3 Software,28/Fev/2019,,[379]
Contra Anniversary Collection,Konami,Konami,11/Jun/2019,,[380]
"Cook, Serve, Delicious! 2!!",Vertigo Gaming Inc.,Vertigo Gaming,10/Abr/2019,,[381]
Cosmic Star Heroine,Zeboyd Games,Limited Run Games,14/Ago/2018,,[382]
Crash Bandicoot N. Sane Trilogy,Toys For Bob,Activision,29/Jun/2018,,[383]
Crash Dummy,Twelve Games,Funbox Media,28/Fev/2019,,[384]
Crash Team Racing Nitro-Fueled,Beenox,Activision,21/Jun/2019,,[385]
Crashbots,Sometimes You,Sometimes You,01/Mai/2019,,[386]
Crashlands,Butterscotch Shenanigans,Butterscotch Shenanigans,08/Nov/2018,,[387]
Crawl,Powerhoof Pty Ltd,Powerhoof,19/Dez/2017,,[388]
Crayola Scoot,Climax Studios,Outright Games,16/Out/2018,,[389]
Crazy Strike Bowling EX,,Corecell Technology,17/Jan/2019,,[390]
Creepy Road,Groovy Milk,Groovy Milk,01/Mar/2019,,[391]
Cricket 19,Big Ant Studios,Big Ant Studios,11/Jun/2019,,[392]
CricktoGame: Nintendo Switch Edition,Polygon-e Studios,Polygon-e,07/Nov/2018,,[393]
Crimson Keep,Team Crimson,Merge Games,29/Nov/2018,,[394]
Crimsonland,10tons Ltd,10tons,24/Nov/2017,,[395]
Croc's World,Sprakelsoft GmbH,Sprakelsoft,09/Nov/2018,,[396]
Croc's World 2,,Sprakelsoft,18/Abr/2019,,[397]
Croixleur Sigma,souvenir circ.,Active Gaming Media,21/Fev/2019,,[398]
Crossing Souls,Fourattic,Devolver Digital,26/Jul/2018,,[399]
Crush Your Enemies!,Vile Monarch,Vile Monarch,02/Ago/2018,,[400]
Cryogear,PolarityFlow / Adrian Zingg,PolarityFlow / Adrian Zingg,15/Ago/2019,,[401]
Crypt of the NecroDancer: Nintendo Switch Edition,Brace Yourself Games,Brace Yourself,01/Fev/2018,,[402]
Crypt of the Serpent King,Rendercode Games,Rendercode Games,30/Mai/2019,,[403]
Crystal Crisis,"Nicalis, Inc",Nicalis,28/Mai/2019,,[404]
Cubikolor,Fractal Box,Lightmaze,26/Jun/2018,,[405]
Cuphead,Studio MDHR,Studio MDHR,18/Abr/2019,BR,[406]
Cursed Castilla,Locomalito / Gryzor87,Abylight,24/Jan/2019,,[407]
Cybarian: The Time Traveling Warrior,,Ratalaika Games,21/Jun/2019,,[408]
Cycle 28,Pill Bug,Pill Bug Interactive,02/Ago/2018,,[409]
Cytus a,Rayark Inc.,Flyhigh Works,25/Abr/2019,,[410]
D/Generation: The Original,West Coast Software,West Coast Software,07/Jun/2018,,[411]
D/Generation HD,West Coast Software,West Coast Software,27/Mar/2018,,[412]
Dandy Dungeon: Legend of Brave Yamada,Onion Games,Onion Games,27/Jun/2019,,[413]
Daggerhood,Woblyware,Ratalaika Games,22/Fev/2019,,[414]
Damascus Gear Operation Osaka,,"Arc System Works Co., Ltd.",29/Ago/2019,,[415]
Damascus Gear Operation Tokyo,"Arc System Works Co., Ltd.","Arc System Works Co., Ltd.",01/Mar/2018,,[416]
Damsel,Screwtape Studios,Screwtape Studios,07/Ago/2019,,[417]
Dandara,Long Hat House,Raw Fury,06/Fev/2018,,[418]
Danger Mouse: The Danger Games,9th Impact,9th Impact,13/Set/2018,,[419]
Danmaku Unlimited 3,Doragon Entertainment,Doragon,13/Mar/2018,,[420]
Dark Devotion,Hibernian Workshop,The Arcade Crew,25/Abr/2019,,[421]
Dark Quest 2,Brain Seal Ltd,Brain Seal Entertainment,27/Fev/2019,,[422]
Dark Souls: Remastered,FromSoftware,Bandai Namco Entertainment,19/Out/2018,A,[423]
Dark Witch Music Episode: Rudymical,Inside System / Esquadra,Flyhigh Works,11/Mai/2017,,[424]
Darkest Dungeon,Red Hook Studios,Red Hook Studios,18/Jan/2018,,[425]
Darkest Hunter,,Ultimate Games,25/Mar/2019,,[426]
Darksiders Warmastered Edition,Kaiko,THQ Nordic,02/Abr/2019,,[427]
Darkwood,Acid Wizard / Crunching Koalas,Crunching Koalas,16/Mai/2019,,[428]
Darts Up,EnjoyUp Games,EnjoyUp Games,13/Jul/2018,,[429]
Dawn of Survivors,WiSTONE Entertainment,WiSTONE Entertainment,18/Abr/2019,,[430]
Dawn of the Breakers,,CyberStep,26/Jul/2018,F2P CP,[431]
DayD: Through Time,8Floor Games,8Floor Games,18/Abr/2019,,[432]
DC Universe™ Online,Daybreak Game Company,Daybreak Game Company,06/Ago/2019,F2P,[433]
de Blob,Blitworks,THQ Nordic,26/Jun/2018,,[434]
de Blob 2,Blitworks,THQ Nordic,28/Ago/2018,,[435]
De Mambo,The Dangerous Kitchen,The Dangerous Kitchen,13/Jul/2017,,[436]
Dead Cells,Motion Twin,Motion Twin,07/Ago/2018,,[437]
Dead Dungeon,,Drageus Games,14/Jun/2019,,[438]
Dead Fun Pack: Penguins and Aliens Strike Again,Pixel Bones Studio,EnjoyUp Games,24/Mai/2018,,[439]
Dead in Vinland - True Viking Edition,Plug In Digital,Plug In Digital,11/Jul/2019,,[440]
Dead Synchronicity: Tomorrow Comes Today,Fictiorama Studios,Badland Games,21/Nov/2017,,[441]
Deadbolt,Code Mystics,Hopoo Games,25/Out/2018,,[442]
Deadlings,,All in! Games,27/Ago/2019,,[443]
Deadly Fighter 2,,Cool Small Games,24/Ago/2019,,[444]
Death Coming,NEXT Studios,Zodiac Interactive,25/Abr/2019,,[445]
Death Mark,Experience,Aksys Games,31/Out/2018,,[446]
Death Road to Canada,Rocketcat Games / Madgarden,Ukiyo Publishing,08/Mai/2018,,[447]
Death Squared,SMG Studio,SMG Studio,13/Jul/2017,,[448]
Debris Infinity,SVC Games,SVC Games,21/Set/2018,,[449]
Deemo,Rayark,Flyhigh Works,28/Set/2017,NL 01,[450]
Deep Ones,Sometimes You,Sometimes You,11/Abr/2018,,[451]
Deer Drive Legends,Raylight s.r.l.,Maximum Games,14/Jun/2019,,[452]
Defend Your Castle,,XGen Studios,25/Abr/2019,,[453]
Defense Grid 2,Hidden Path Entertainment,Hidden Path Entertainment,07/Fev/2019,,[454]
Defoliation,Rising Win Tech,Cosen,31/Mai/2018,,[455]
Defunct,,Soedesco,13/Set/2018,,[456]
Degrees of Separation,Moondrop Studios,Modus Games,14/Fev/2019,,[457]
Deltarune Chapter 1,"8-4, Ltd.",8-4,28/Fev/2019,F2P,[458]
Demetrios - The BIG Cynical Adventure,Cowcat,Cowcat,03/Dez/2018,,[459]
Demolition Crew,xirBX,xirBX,14/Jun/2019,,[460]
Demon's Crystals,Byte4games,Badland Games,30/Out/2018,,[461]
Deployment,,Whale Rock Games,24/Out/2018,,[462]
Deponia,Daedalic GmbH,Daedalic GmbH,24/Abr/2019,,[463]
Deru - The Art of Cooperation,Ink Kit,Ink Kit,07/Nov/2018,,[464]
Desert Child,Oscar Brittain,Akupara Games,11/Dez/2018,,[465]
Desktop Baseball,SAT-BOX,SAT-BOX,31/Mai/2019,,[466]
Desktop Bowling,SAT-BOX,SAT-BOX,08/Jul/2019,,[467]
Desktop Soccer,SAT-BOX,SAT-BOX,21/Nov/2018,,[468]
Desktop Table Tennis,SAT-BOX,SAT-BOX,28/Jun/2019,,[469]
"Destiny's Princess: A War Story, A Love Story",,D3Publisher,21/Jun/2018,,[470]
Destruction,Rising Win Tech,Cosen,15/Nov/2018,,[471]
Detective Gallo,Adventure Productions,MixedBag Srl,17/Ago/2018,,[472]
Detention,"Red Candle Games Co.,LTD",Coconut Island Games,01/Mar/2018,,[473]
Devil Engine,Dangen Entertainment,Dangen Entertainment,21/Fev/2019,,[474]
Devil May Cry,Capcom,Capcom,24/Jun/2019,,[475]
Devious Dungeon,Ratalaika Games,Ratalaika Games,30/Mar/2018,,[476]
Devious Dungeon 2,Woblyware Oy / Ratalaika Games,Ratalaika Games,17/Mai/2019,,[477]
Dexteritrip,,Undergames,29/Nov/2018,,[478]
Diablo III: Eternal Collection,"Blizzard Entertainment, Inc","Blizzard Entertainment, Inc",02/Nov/2018,A BR,[479]
Die for Valhalla!,Monster Couch sp. z o. o.,Monster Couch,29/Mai/2018,,[480]
Dig Dog,Wild Rooster,Wild Rooster,26/Abr/2019,,[481]
Diggerman,,Forever Entertainment,24/Dez/2018,,[482]
Dimension Drive,2Awesome Studio,2Awesome Studio,07/Dez/2017,,[483]
Ding Dong XL,Nickervision Studios,Nickervision Studios,22/Abr/2019,,[484]
Disc Jam,High Horse Entertainment,High Horse Games,08/Fev/2018,CP,[485]
Disco Dodgeball - REMIX,Zen Studios,Zen Studios,22/Mai/2018,,[486]
Discovery,,noowanda,24/Mai/2018,,[487]
Disease: Hidden Object,OperaHouse Corporation,D3Publisher,05/Jul/2018,,[488]
Disgaea 1 Complete,Nippon Ichi Software,NIS America,09/Out/2018,,[489]
Disgaea 5 Complete,Nippon Ichi Software,NIS America,23/Mai/2017,,[490]
Distrust,Cheerdealers,Alawar Premium,16/Jul/2019,,[491]
Divine Ascent,Absorb Reality,Timothee Paez,25/Jul/2019,,[492]
Dobutsu Shogi World,Silverstar,Silverstar,27/Jun/2019,,[493]
Doggie Ninja: The Golden Mission,Toydea Inc.,Toydea,11/Abr/2019,,[494]
Dokuro,GungHo Online Entertainment,SE Mobile and Online,27/Set/2018,,[495]
"Don't Die, Mr Robot!",Infinite State Games,Digerati,03/Mai/2018,,[496]
Don't Knock Twice,Wales Interactive Ltd.,Wales Interactive Ltd.,17/Out/2017,,[497]
Don't Sink,Studio Eris,Hitcents,03/Jan/2019,,[498]
Don't Starve: Nintendo Switch Edition,Klei Entertainment,Klei Entertainment Inc.,12/Abr/2018,,[499]
Donkey Kong Country: Tropical Freeze,Retro Studios,Nintendo,04/Mai/2018,BR,[500]
Donut County,Ben Esposito,Annapurna Interactive,18/Dez/2018,,[501]
Doodle God: Crime City,JoyBits,JoyBits,11/Jul/2019,,[502]
Doodle God: Evolution,JoyBits,JoyBits,24/Jan/2019,,[503]
Doom,id Software,Bethesda Softworks,10/Nov/2017,,[504]
Doom (1993),Panic Button,Bethesda Softworks,26/Jul/2019,,[505]
Doom II,Panic Button,Bethesda Softworks,26/Jul/2019,,[506]
Doom 3,Panic Button,Bethesda Softworks,26/Jul/2019,,[507]
Doom & Destiny,Heartbit Interactive,Heartbit,08/Fev/2019,,[508]
Double Cross,13AM Games,Graffiti Games,10/Jan/2019,,[509]
Double Dragon 4,InterOne Inc.,"Arc System Works Co., Ltd.",07/Set/2017,,[510]
Doughlings: Arcade,Hero Concept,Hero Concept,13/Set/2018,,[511]
Doughlings: Invasion,Hero Concept,Hero Concept,08/Ago/2019,,[512]
Downwell,Moppin,Devolver Digital,31/Jan/2019,,[513]
Dracula's Legacy,,Joindots,25/Out/2018,,[514]
DragoDino,Plug In Digital,Plug In Digital,27/Abr/2018,,[515]
Dragon Ball FighterZ,"Arc System Works Co., Ltd.",Bandai Namco Entertainment,28/Set/2018,,[516]
Dragon Ball Xenoverse 2 for Nintendo Switch,Dimps,Bandai Namco Entertainment,22/Set/2017,,[517]
Dragon Ball Z Super Butoden,Bandai / Tose,Bandai Namco Entertainment,20/Set/2018,Brinde*,[518]
Dragon Blaze for Nintendo Switch,,Zerodiv,05/Abr/2018,,[519]
Dragon Marked for Death,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",31/Jan/2019,,[520][521]
Dragon Pinball,Super Power Up,EnjoyUp Games,10/Mai/2019,,[522]
Dragon Quest Builders,"Square Enix CO., LTD.",Nintendo,09/Fev/2018,BR,[523]
Dragon Quest Builders 2,"Square Enix CO., LTD.",Nintendo,12/Jul/2019,CP BR,[524]
Dragon Sinker,Exe Create Inc.,Kemco,22/Fev/2018,,[525]
Dragon Snakes,My Next Games,My Next Games,09/Mai/2019,,[526]
Dragon's Dogma: Dark Arisen,Capcom,Capcom,23/Abr/2019,,[527]
Dragon's Lair Trilogy,Digital Leisure Inc,Digital Leisure Inc,17/Jan/2019,,[528]
DragonFangZ - The Rose & Dungeon of Time,Toydea Inc.,Toydea,19/Dez/2017,,[529]
Draw a Stickman: EPIC 2,Hitcents,Hitcents,11/Jan/2018,,[530]
Drawful 2,Jackbox Games,Jackbox Games,21/Jun/2018,,[531]
Dream Alone,Fat Dog Games,Fat Dog Games,28/Jun/2018,,[532]
Dream Daddy: A Dad Dating Simulator,Game Grumps,Game Grumps,02/Jul/2019,,[533]
Dreamwalker,Code Mystics,Code Mystics Inc.,03/Jan/2019,,[534]
DreamWorks Dragons Dawn of New Riders,Climax Studios,Outright Games,15/Fev/2019,,[535]
Drift Legends,Black Fox Entertainment,LUXTRADE,18/Out/2018,,[536]
Driving School Original,SC Ovilex Soft,SC Ovilex Soft,20/Jun/2019,,[537]
Drone Fight,Silver Star Japan,Silver Star,12/Abr/2018,,[538]
Drowning,Sometimes You,Sometimes You,30/Jan/2019,,[539]
Duck Game,Landon Podbielski,Adult Swim Games,02/Mai/2019,,[540]
Duck Hunting Challenge,,BoomBox,22/Fev/2019,,[541]
Duck Life: Battle,Wix Games,Wix Games,18/Ago/2019,,[542]
Duke of Defense,Christopher Anselmo / Sebastian Nigro,Hitcents,20/Jun/2019,,[543]
Dungeon Rushers,Goblinz Studio,Plug In Digital,25/Mai/2018,,[544]
Dungeon Stars,Furnace Games,Dungeon Stars,15/Fev/2019,,[545]
Dungeon Village,,Kairosoft,11/Out/2018,,[546]
Dungeon Warfare,Valsar,Singlecore Games,01/Ago/2019,,[547]
Dungeons & Aliens,Kool2Play,Arts Alliance,15/Mar/2019,,[548]
Dust: An Elysian Tail,Humble Hearts LLC,Humble Hearts,10/Set/2018,,[549]
Dustoff Heli Rescue 2,Invictus Games / Ratalaika Games,Rainy Frog,25/Jan/2018,,[550]
Dusty Raging Fist,PD Design Studio,PD Design Studio,14/Mar/2019,,[551]
Dying: Reborn - Nintendo Switch Edition,Nekcom Entertainment,Coconut Island Games,17/Jan/2019,,[552]
Dyna Bomb,7 Raven Studios,7 Raven Studios,30/Mai/2019,,[553]
Dynamite Fishing - World Games,HandyGames,HandyGames,21/Dez/2018,,[554]
Dynasty Warriors 8: Xtreme Legends Definitive Edition,"Koei Tecmo Games CO., LTD.",Koei Tecmo America,27/Dez/2018,,[555]
Earth Atlantis,Pixel Perfex,Headup Games,05/Out/2017,,[556]
Eagle Island,Pixelnicks,Screenwave Media,11/Jul/2019,,[557]
Earth Wars,One or Eight INC.,One or Eight,25/Jan/2018,,[558]
Earthlock,Snowcastle Games,Snowcastle Games,08/Mar/2018,,[559]
Earthworms,All Those Moments,Sonka,24/Ago/2018,,[560]
Eat Beat Deadspike-san,Arc System Works,"Arc System Works Co., Ltd.",22/Mar/2018,,[561]
Edna & Harvey: Harvey's New Eyes,Daedalic Entertainment,Daedalic GmbH,14/Ago/2019,,[562]
Eekeemoo - Splinters of the Dark Shard,Cooply Solutions / Goldborough Studio,Cooply,02/Ago/2018,,[563]
Eggggg - The platform puker,,Hyper Games,31/Jan/2019,,[564]
Eight-Minute Empire: Complete Edition,Acram Digital / Mobo Studio,Acram,27/Ago/2019,,[565]
Element,Flightless,Flightless,27/Jul/2018,,[566]
Elemental Knights R,,Winlight,02/Nov/2018,CP,[567]
Elevator...to the Moon! Turbo Champion's Edition,Roccat Games Studio,Arcade Distillery,06/Mar/2019,,[568]
Elli,BandanaKid,BandanaKid,10/Jan/2019,,[569]
Elliot Quest,Ansimuz Games,PlayEveryWare Games,19/Out/2017,,[570]
Embers of Mirrim,Creative Bytes Studios,Creative Bytes,07/Dez/2017,,[571]
"Enchanted in the Moonlight: Kiryu, Chikage & Yukinojo",,Voltage,13/Jun/2019,,[572]
"Enchanted in the Moonlight: Miyabi, Kyoga & Samon",,Voltage,13/Jun/2019,,[573]
Enchanting Mahjong Match,Orgesta,D3Publisher,15/Mar/2018,,[574]
Energy Balance,Sometimes You,Evgeniy Kolpakov,16/Jan/2018,,[575]
Energy Cycle,Sometimes You,Evgeniy Kolpakov,25/Dez/2017,,[576]
Energy Cycle Edge,Sometimes You,Sometimes You,05/Dez/2018,,[577]
Energy Invasion,Sometimes You,Evgeniy Kolpakov,11/Jan/2018,,[578]
Enigmatis 2: The Mists of Ravenwood,Artifex Mundi,Artifex Mundi,25/Mai/2018,,[579]
Enter the Gungeon,Dodge Roll,Devolver Digital,14/Dez/2017,,[580]
Epic Astro Story,Kairosoft,Kairosoft,27/Jun/2019,,[581]
Epic Clicker Journey,Cleversan Software,Ultimate Games,06/Ago/2019,,[582]
Epic Loon,Macrales Studio,Ukuza,13/Jul/2018,,[583]
Escape Doodland,Sonka,QubicGames,30/Nov/2018,,[584]
Escape from the Universe,CAT-astrophe Games,CAT-astrophe Games,16/Ago/2019,,[585]
Escape Game : Aloha,Silver Star Japan,Silver Star,24/Mai/2018,,[586]
Escape Trick: 35 Fateful Enigmas,D3 Publisher Inc.,D3Publisher,15/Fev/2018,,[587]
ESport Manager,InImages,Ultimate Games,27/Ago/2019,,[588]
Estiman,Kool2Play,Arts Alliance,07/Fev/2019,,[589]
Eternal Edge,Righteous Weasel Games,Righteous Weasel,12/Abr/2018,,[590]
Eternum Ex,Flynn's Arcade / Radin Games,Zerouno Games,25/Out/2018,,[591]
Ethan: Meteor Hunter,Seaven Studio,Seaven Studio,11/Dez/2018,,[592]
Etherborn,Altered Matter,Altered Matter,18/Jul/2019,,[593]
European Conqueror X,EasyTech,Circle Ent.,07/Mai/2019,,[594]
Everdark Tower,"Hit-Point Co., Ltd.",Kemco,22/Ago/2019,,[595]
Everspace - Stellar Edition,Rockfish Games GmbH,Rockfish Games,11/Dez/2018,,[596]
"Everybody, Hearts!",CELLNAVI,CELLNAVI,18/Abr/2019,,[597]
Everything,David O'Reilly,David O'Reilly,10/Jan/2019,,[598]
Evil Defenders,Crazy Panda,Crazy Panda,14/Mai/2019,,[599]
Evoland Legendary Edition,,Shiro Games,07/Fev/2019,,[600]
Exception,Traxmaster Software,Traxmaster Software,13/Ago/2019,,[601]
Exorder,Solid9 Studio,Fat Dog Games,16/Out/2018,CP,[602]
Extreme Poker,"RedinC Co.,Ltd.",Dorasu,16/Ago/2018,,[603]
Fairune Collection,Flyhigh Works,Flyhigh Works,17/Mai/2018,,[604]
Fairy Fencer F: Advent Dark Force,Idea Factory / Compile Heart,Idea Factory,17/Jan/2019,,[605]
Fairy Tale Puzzles: Magic Objects,"Adore Co.,Ltd.",Office5656,25/Out/2018,,[606]
Fall of Light: Darkest Edition,RuneHeads,Digerati,30/Ago/2018,,[607]
Fallen Legion: Rise to Glory,"YummyYummyTummy, Inc.",NIS America,29/Mai/2018,,[608]
Fallout Shelter,Bethesda Game Studios,Bethesda Softworks,10/Jun/2018,F2P,[609]
Fantasy Hero: Unsigned Legacy,Arc System Works,"Arc System Works Co., Ltd.",25/Jan/2018,,[610]
Fantasy Strike,Sirlin Games,Sirlin Games,25/Jul/2019,CP,[611]
FAR: Lone Sails,,Mixtvision,18/Ago/2019,,[612]
Farm Expert 2018 for Nintendo Switch,SimFabric,SimFabric,30/Mar/2018,,[613]
Farm Mystery,,Ocean Media,22/Ago/2019,,[614]
Farm Together,Milkstone Studios,Milkstone Studios,01/Fev/2019,,[615]
Farming Simulator Nintendo Switch Edition,Giants Software,Focus Home Interactive,07/Nov/2017,,[616]
Fast RMX,Shin'en,Shin'en Multimedia,03/Mar/2017,,[617]
Fat City,Heavy Iron Studios,Heavy Iron Studios,06/Jun/2019,,[618]
Fate/Extella Link,Marvelous Inc.,Marvelous (XSEED),19/Mar/2019,,[619]
Fate/Extella: The Umbral Star,Marvelous Inc.,Marvelous USA/XSEED Games,25/Jul/2017,,[620]
Fe,Zoink!,EA Originals,16/Fev/2018,BR,[621]
Fear Effect Sedna,Sushee SARL,Square Enix,16/Mar/2018,,[622]
Feather,Samurai Punk,Samurai Punk,05/Abr/2019,,[623]
Fell Seal: Arbiter's Mark,6 Eyes Studio,1C Entertainment,14/Ago/2019,,[624]
Feral Fury,Skandivania Games ANS,Skandivania,11/Out/2018,,[625]
Fernz Gate,Exe Create Inc.,Kemco,23/Ago/2018,,[626]
Feudal Alloy,Attu Games,Attu Games,17/Jan/2019,,[627]
FIFA 18,EA Vancouver / EA Romania,Electronic Arts Inc,29/Set/2017,,[628]
FIFA 19,EA Vancouver / EA Romania,Electronic Arts Inc,28/Set/2018,BR,[629]
Fight of Gods,Digital Crafter,Digital Crafter,18/Jan/2019,,[630]
Figment,Bedtime Digital Games,Bedtime Digital Games,28/Jun/2018,,[631]
Fill-a-Pix: Phil's Epic Adventure,Lightwood Games,Lightwood Games,12/Jul/2018,,[632]
Fimbul,Zaxis ApS,EuroVideo Medien,28/Fev/2019,,[633]
Final Fantasy VII,"Square Enix CO.,LTD.",Square Enix,26/Mar/2019,,[634]
Final Fantasy IX,Guild Studio Inc.,Square Enix,13/Fev/2019,,[635]
Final Fantasy X/X-2 HD Remaster,"Square Enix CO.,LTD.",Square Enix,16/Abr/2019,,[636]
Final Fantasy XII: The Zodiac Age,"Square Enix CO.,LTD.",Square Enix,30/Abr/2019,,[637]
Final Fantasy XV Pocket Edition HD,Square Enix,Square Enix,13/Set/2018,,[638]
"Final Light, The Prison",EnjoyUp Games,EnjoyUp Games,27/Jul/2018,,[639]
Find The Balance,Wastelands Interactive,Wastelands,20/Set/2018,,[640]
Fire Emblem Warriors,"Koei Tecmo Games CO., LTD.",Nintendo,20/Out/2017,A BR,[641]
Fire Emblem: Three Houses,"Koei Tecmo Games CO., LTD.",Nintendo,26/Jul/2019,A BR,[642][643]
Firefighters - The Simulation,United Independent Entertainment,United Independent Entertainment,24/Abr/2018,,[644]
Firefighters: Airport Fire Department,United Independent Entertainment,United Independent Entertainment,24/Abr/2018,,[645]
Firewatch,Campo Santo Productions,Campo Santo,17/Dez/2018,,[646]
Fishing Star World Tour,WFS,WFS,30/Jan/2019,NL 01,[647]
Fishing Universe Simulator,Ultimate Games S.A.,Forever Entertainment,24/Jan/2019,,[648]
Fitness Boxing,Imagineer,Nintendo,04/Jan/2019,BR,[649]
Flashback,Paul Cuisset,Microïds,17/Jun/2018,,[650]
Flat Heroes,Parallel Circles,Deck 13,02/Ago/2018,,[651]
Flinthook,Tribute Games Inc.,Tribute Games,09/Mar/2018,,[652]
Flip Over Frog,Mutan INC.,Mutan,09/Ago/2018,,[653]
Fobia,,Eugene Lazebny,01/Ago/2019,,[654]
Food Truck Tycoon,Baltoro Games,Baltoro Games,08/Fev/2019,,[655]
Football Heroes Turbo,Run Games,Run Games,17/Jan/2019,,[656]
Football Manager Touch 2018,Sports Interactive,Sega,13/Abr/2018,Removido*,[657]
Football Manager Touch 2019,Sports Interactive,Sega,06/Dez/2018,Removido*,[658]
For The King,IronOak Games,Curve Digital,09/Mai/2019,,[659]
Forager,HopFrog,Humble Bundle,30/Jul/2019,,[660]
Forest Home,The Binary Mill,NextGen Reality,20/Jun/2019,,[661]
Forever Forest,Mad about Pandas,Fictive Studio,14/Jan/2019,,[662]
Forgotten Tales - Day of the Dead,,Joindots,24/Jan/2019,,[663]
Forgotton Anne,Throughline Games,Square Enix Europe LTD,09/Nov/2018,,[664]
Forklift - The Simulation,Enigma Entertainment,Polygon Art,16/Jul/2019,,[665]
forma.8,MixedBag Srl,MixedBag Srl,24/Ago/2017,,[666]
Fortnite,"Epic Games, Inc",Epic Games,12/Jun/2018,F2P CP,[667]
Fossil Hunters,Reptoid Games Inc.,"Smiling Buddha Games, LLC",28/Jun/2018,,[668]
FOX n FORESTS,Bonus Level Entertainment,EuroVideo Medien,30/Mar/2019,,[669]
Fractured Minds,Emily Mitchell,Wired Productions,30/Mar/2019,,[670]
Fragment of Marine,Shiosai Sirens,Mediascape,11/Jan/2019,,[671]
Framed Collection,Loveshack Entertainment,Surprise Attack,17/Mai/2018,,[672]
